Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C1,C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,10nF,
2,"Jin1,Jout1",SMAedgemount,2,Conn_Coaxial,  RS Stock No.217-7781
3,L1,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,5.6nH,
4,power1,BarrelJack_Horizontal,1,Barrel_Jack,RS Stock No.122-4878
5,U1,pha202d+,1,PHA202D+,
